,,,,,,Type,,Date,,Num,,Name,,Memo,,Class,,Clr,,Split,,Amount,,Balance
,Other Current Asset,,,,,,,,,,,,,,,,,,,,,,,0.00
,,Assets Cost and Est. Earnings,,,,,,,,,,,,,,,,,,,,,,0.00
,,,,,,Bill,,06/23/2025,,INV# 1015 PO# 1380,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 1015 PO# 1380  Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"17,457.12",,"459,785.51"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,49.89,,"459,835.40"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,USPS,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,19.35,,"459,854.75"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,17.62,,"459,872.37"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,14.00,,"459,886.37"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,16.00,,"459,902.37"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,93.22,,"459,995.59"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,35.24,,"460,030.83"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,26.00,,"460,056.83"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,26.20,,"460,083.03"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,12.53,,"460,095.56"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,54.23,,"460,149.79"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,50.00,,"460,199.79"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,The Home Depot,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,330.19,,"460,529.98"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Costco,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,255.33,,"460,785.31"
